id,title,description,link,image_link,price,availability,condition,brand
table-styling,The Decor Code • Table Styling,Complete Guide to Beautiful Tables for Every Occasion,https://thedecorcode.com/the-decor-code-table-styling,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/461c8a01-71f7-4a06-bfb8-0f2958da8d31.jpg",17.00 USD,in stock,new,The Decor Code
kitchen-design,The Decor Code • Kitchen Design,"Design a Kitchen That’s Beautiful, Functional, and Timeless.",https://thedecorcode.com/the-decor-code-kitchen-design,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/e8bca0f0-69c7-4629-a245-a2e41ab06994.jpg",17.00 USD,in stock,new,The Decor Code
stone,The Decor Code • Stone,Everything You Need to Know About Natural & Engineered Stone,https://thedecorcode.com/the-decor-code-stone,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/8f296566-2112-48e2-8bc8-e299cb43cee9.jpg",17.00 USD,in stock,new,The Decor Code
lighting,The Decor Code • Lighting,Beyond the Bulb: How to Light Every Room Like a Designer and Transform the Mood of Your Home (Without Rewiring the House),https://thedecorcode.com/the-decor-code-lighting-,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/904efd31-af0e-4f26-81ce-0a7da650d207.jpg",17.00 USD,in stock,new,The Decor Code
wallpaper,The Decor Code • Wallpaper,Master the Art of Transforming Walls with Timeless Wallpaper Design,https://thedecorcode.com/the-decor-code-wallpaper,https://cdn.zyrosite.com/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/50dde66a-b303-41f1-991d-0661a6b84043.png,17.00 USD,in stock,new,The Decor Code
farmhouse,The Comfort Code • Farmhouse,"A Complete Guide to Timeless Farmhouse Interior Design, Natural Materials, Warm Neutrals, and Effortless Home Styling",https://thedecorcode.com/the-comfort-code-farmhouse,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/78e85f6f-493a-4c5c-83a8-de2a52fc386b.png",17.00 USD,in stock,new,The Comfort Code
coastal-living,The Comfort Code • Coastal Living,"A Complete Guide to Modern Coastal Interior Design, Natural Materials, Soft Color Palettes, and Timeless Home Styling",https://thedecorcode.com/the-comfort-code-coastal-living,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/35555969-aa5b-4d56-8576-91365ae8f7a8.png",17.00 USD,in stock,new,The Comfort Code
warm-minimalism,The Comfort Code • Warm Minimalism,"A Complete Guide to Warm Minimalist Interior Design, Quiet Luxury, Natural Materials, and Timeless Home Styling",https://thedecorcode.com/the-comfort-code-warm-minimalism,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/d5d044e9-ae49-4b84-bc7f-98563ddcf759.png",17.00 USD,in stock,new,The Comfort Code
mediterranean-living,The Comfort Code • Mediterranean Living,"A Timeless Guide to Mediterranean Interior Design, Warm Natural Materials, and Effortlessly Elegant Homes",https://thedecorcode.com/the-comfort-code-mediterranean-living,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/a74fad9a-f35b-4fd8-b5a0-d15aef2d92d8.png",17.00 USD,in stock,new,The Comfort Code
modern-organic,The Decor Code • Modern Organic,"A Complete Guide to Modern Organic Interior Design, Natural Materials, Warm Neutrals, and Timeless Home Styling",https://thedecorcode.com/the-decor-code-modern-organic-,"https://cdn.zyrosite.com/cdn-cgi/image/format=auto,w=1440,fit=scale-down/cdn-ecommerce/store_01KXBJJ2GAC763DM7X30FWDAPX/assets/c72f0b88-c7ff-480f-b80c-41a18b600ab6.png",17.00 USD,in stock,new,The Decor Code
